"","Rank","Title","authorName","avg_rating","rater","score","voter","price","First_published","pages","reviews","followers","top_genre","second_genre","third_genre","fourth_genre","fifth_genre","Five_stars","Four_stars","Three_stars","Two_stars","One_stars","cover_type","author_avg_rating"
"128",128,"The Curious Incident of the Dog in the Night-Time","Mark Haddon",3.89,1511444,153595,1767,"12.99","July 31, 2003",226,57342,3850,"Fiction","Mystery","Young Adult","Classics","Autistic Spectrum Disorder",30,38,22,6,2," Paperback","3.87"
"129",129,"The Shadow of the Wind","Carlos Ruiz Zafón",4.3,658350,153442,1701,NA,"January 1, 2001",487,53629,25200,"Fiction","Historical Fiction","Mystery","Fantasy","Books About Books",52,30,11,3,1," Paperback","4.18"
"130",130,"Tuesdays with Morrie","Mitch Albom",4.18,1068406,151204,1726,"11.99","August 18, 1997",210,42832,112000,"Nonfiction","Memoir","Biography","Classics","Philosophy",47,31,15,4,1," Paperback","4.12"
"131",131,"The Unbearable Lightness of Being","Milan Kundera",4.11,491006,147851,1660,"1.99","January 1, 1984",314,27525,17800,"Fiction","Philosophy","Literature","Novels","Romance",42,33,16,4,1," Paperback","4.02"
"132",132,"On the Road","Jack Kerouac",3.61,420649,146427,1666,"8.99","September 5, 1957",307,20636,10800,"Fiction","Travel","Literature","Classics","Novels",25,31,25,1,5," Paperback","3.7"
"133",133,"The Name of the Rose","Umberto Eco",4.14,372930,146318,1700,"7.99","September 1, 1980",552,13646,11200,"Fiction","Historical Fiction","Mystery","Historical","Literature",44,33,15,4,2," Paperback","3.98"
"134",134,"Holes","Louis Sachar",4,1245523,143260,1697,NA,"August 20, 1998",272,27694,4114,"Young Adult","Fiction","Middle Grade","Childrens","Classics",37,34,20,5,1," Paperback","4.02"
"135",135,"The Godfather","Mario Puzo",4.39,432365,143045,1686,NA,"March 10, 1969",448,13467,4499,"Fiction","Classics","Crime","Thriller","Historical Fiction",57,29,10,2,1," Paperback","4.29"
"136",136,"Where the Red Fern Grows","Wilson Rawls",4.12,416128,142756,1661,NA,"January 1, 1961",272,14479,875,"Classics","Fiction","Young Adult","Childrens","Middle Grade",44,31,17,4,2," Mass Market Paperback","4.12"
"137",137,"In Cold Blood","Truman Capote",4.09,678597,140490,1666,"12.99","January 1, 1959",343,25115,6716,"Nonfiction","Classics","True Crime","Crime","Mystery",40,35,16,4,2," Paperback","4.0"
"138",138,"Perfume: The Story of a Murderer","Patrick Süskind",4.04,491120,140340,1593,"9.99","February 26, 1985",263,27571,3818,"Fiction","Classics","Historical Fiction","Horror","Thriller",38,35,17,5,2," Paperback","4.01"
"139",139,"The Scarlet Letter","Nathaniel Hawthorne",3.43,879327,138313,1717,"0.99","March 16, 1850",279,21221,3240,"Fiction","Classics","Historical Fiction","School","Literature",19,29,31,3,5," Paperback","3.47"
"140",140,"American Gods","Neil Gaiman",4.11,954685,137388,1557,NA,"June 19, 2001",635,48576,317000,"Fantasy","Fiction","Mythology","Urban Fantasy","Audiobook",42,34,16,4,1," Kindle Edition","4.15"
"141",141,"Fight Club","Chuck Palahniuk",4.18,606724,137299,1583,NA,"August 17, 1996",224,23297,130000,"Fiction","Classics","Thriller","Novels","Mystery",44,36,15,3,1," Paperback","3.84"
"142",142,"A Story of Yesterday","Sergio Cobo",4.57,13414,134900,1349,"4.99","March 6, 2014",70,380,2162,"Thriller","Spanish Literature","Mystery","European Literature","Fiction",73,15,7,2,1," Kindle Edition","4.56"
"143",143,"The Five People You Meet in Heaven","Mitch Albom",3.99,740272,133592,1535,NA,"September 1, 2003",196,30115,112000,"Fiction","Contemporary","Inspirational","Fantasy","Classics",38,32,20,5,2," Paperback","4.12"
"144",144,"Six of Crows","Leigh Bardugo",4.48,1008551,133162,1418,NA,"September 29, 2015",480,108851,173000,"Fantasy","Young Adult","Fiction","Young Adult Fantasy","LGBT",61,28,7,1,1," Hardcover","4.15"
"145",145,"The Divine Comedy","Dante Alighieri",4.08,157857,131684,1553,"6.99","January 1, 1320",798,6569,5585,"Poetry","Fiction","Literature","Philosophy","Religion",41,33,18,4,1," Hardcover","4.04"
"146",146,"Watchmen","Alan             Moore",4.38,568293,131132,1485,NA,"January 1, 1987",416,17877,20400,"Graphic Novels","Fiction","Science Fiction","Fantasy","Graphic Novels Comics",58,27,10,2,1," Paperback","4.24"
"147",147,"The Cat in the Hat","Dr. Seuss",4.19,553163,130995,1617,"7.99","March 12, 1957",61,7314,17900,"Childrens","Picture Books","Fiction","Poetry","Classics",51,24,16,4,2," Hardcover","4.27"
"148",148,"All Quiet on the Western Front","Erich Maria Remarque",4.08,475480,129662,1514,"10.99","January 1, 1928",296,19280,5519,"Fiction","Historical Fiction","War","Classics","Historical",42,33,17,5,2," Mass Market Paperback","4.16"
"149",149,"The Little House Collection","Laura Ingalls Wilder",4.35,154410,127487,1508,"17.99","January 1, 1971",2700,2485,4998,"Classics","Historical Fiction","Childrens","Fiction","Young Adult",56,28,11,2,1," Paperback","4.2"
"150",150,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch","Terry Pratchett",4.26,775655,127428,1437,"1.99","May 10, 1990",491,42348,43900,"Fantasy","Fiction","Humor","Audiobook","Comedy",50,31,13,3,1," Mass Market Paperback","4.18"
"151",151,"Hush, Hush","Becca Fitzpatrick",3.92,717241,127280,1408,NA,"October 13, 2009",391,30660,32500,"Fantasy","Young Adult","Romance","Paranormal","Angels",41,26,19,8,4," Hardcover","3.99"
"152",152,"Lonesome Dove","Larry McMurtry",4.54,201956,126708,1424,NA,"January 1, 1985",960,13300,3465,"Fiction","Historical Fiction","Westerns","Classics","Historical",67,22,7,1,1," Paperback","4.23"
"153",153,"Peter Pan","J.M. Barrie",4.04,354308,122832,1525,NA,"January 1, 1911",176,16832,2182,"Fantasy","Fiction","Childrens","Classics","Adventure",39,33,20,4,1," Hardcover","4.06"
"154",154,"Catching Fire","Suzanne Collins",4.33,3715203,117052,1379,NA,"September 1, 2009",391,129111,105000,"Young Adult","Fiction","Fantasy","Science Fiction","Romance",51,33,12,2,1," Hardcover","4.27"
"155",155,"The Addiction Manifesto","Jerry Weaver",4.81,1181,115064,1151,"1.99","April 7, 2018",178,52,7,"Nonfiction","Self Help","Memoir","Mental Health","Psychology",90,3,2,1,1," Paperback","4.81"
"156",156,"Love in the Time of Cholera","Gabriel García Márquez",3.94,515562,114830,1365,NA,"November 1, 1985",348,28478,38000,"Fiction","Historical Fiction","Magical Realism","Literature","Novels",36,33,19,6,3," Paperback","3.99"
"157",157,"Insurgent","Veronica Roth",3.97,1537594,114304,1306,NA,"May 1, 2012",525,64386,461000,"Young Adult","Dystopia","Fantasy","Fiction","Science Fiction",35,35,21,5,1," Hardcover","4.01"
"158",158,"The Titan’s Curse","Rick Riordan",4.37,1107395,114216,1354,NA,"May 5, 2007",320,42584,434000,"Fantasy","Young Adult","Mythology","Fiction","Middle Grade",52,33,11,1,1," Paperback","4.34"
"159",159,"The Battle of the Labyrinth","Rick Riordan",4.42,1128000,113710,1329,NA,"March 6, 2008",361,37436,434000,"Fantasy","Young Adult","Mythology","Fiction","Middle Grade",56,32,9,1,1," Hardcover","4.34"
"160",160,"A Walk to Remember","Nicholas Sparks",4.2,818608,112778,1315,"8.99","October 1, 1999",215,17287,232000,"Romance","Fiction","Contemporary","Young Adult","Chick Lit",48,29,15,3,1," Kindle Edition","4.11"
"161",161,"The Thorn Birds","Colleen McCullough",4.25,354555,110956,1342,NA,"April 1, 1977",692,8254,2845,"Fiction","Historical Fiction","Romance","Classics","Historical",49,31,14,3,1," Mass Market Paperback","4.19"
"162",162,"Clockwork Princess","Cassandra Clare",4.56,455121,109509,1218,NA,"March 19, 2013",567,40875,273000,"Fantasy","Young Adult","Romance","Paranormal","Historical Fiction",68,21,7,1,1," Paperback","4.22"
"163",163,"How the Grinch Stole Christmas!","Dr. Seuss",4.38,422222,109102,1402,NA,"October 12, 1957",64,4738,17900,"Childrens","Picture Books","Christmas","Classics","Fiction",60,22,11,3,1," Hardcover","4.27"
"164",164,"The Sea of Monsters","Rick Riordan",4.24,1231647,109051,1297,NA,"April 1, 2006",279,52170,434000,"Fantasy","Young Adult","Mythology","Fiction","Middle Grade",45,36,15,2,1," Hardcover","4.34"
"165",165,"The Compleat Works of Wllm Shkspr","Reduced Shakespeare Company",4.44,9491,108723,1252,NA,"February 1, 2000",137,176,1,"Plays","Classics","Humor","Drama","Fiction",61,25,9,1,1," Hardcover","4.45"
"166",166,"Shadow Kiss","Richelle Mead",4.33,370971,108289,1205,NA,"November 13, 2008",443,13556,68700,"Fantasy","Vampires","Fiction","Romantasy","Urban Fantasy",54,29,12,2,1," Paperback","4.24"
"167",167,"The Ultimate Hitchhiker’s Guide to the Galaxy","Douglas Adams",4.38,327851,108096,1271,"13.99","January 17, 1996",815,6488,22800,"Science Fiction","Fiction","Humor","Fantasy","Classics",58,27,10,2,1," Paperback","4.2"
"168",168,"Their Eyes Were Watching God","Zora Neale Hurston",3.98,357741,107710,1242,"0.00","January 1, 1937",238,21606,4836,"Classics","Fiction","Historical Fiction","School","African American",35,36,20,5,2," Paperback","4.0"
"169",169,"The Song of Achilles","Madeline Miller",4.32,1628750,106752,1136,"0.00","September 20, 2011",408,175092,74700,"Fantasy","Historical Fiction","Romance","Mythology","Fiction",54,29,11,3,1," Paperback","4.27"
"170",170,"The Importance of Being Earnest","Oscar Wilde",4.17,379230,106276,1315,"3.60","February 14, 1895",89,15027,36200,"Classics","Plays","Fiction","Drama","Humor",42,36,16,3,1," Paperback","4.12"
"171",171,"The Maze Runner","James Dashner",4.05,1570684,105689,1210,NA,"October 6, 2009",384,67164,34800,"Young Adult","Dystopia","Science Fiction","Fiction","Fantasy",39,34,19,5,1," Hardcover","3.95"
"172",172,"Atonement","Ian McEwan",3.94,531877,105551,1258,"8.99","September 20, 2001",351,23754,16900,"Fiction","Historical Fiction","Classics","Romance","Historical",34,36,19,6,2," Paperback","3.75"
"173",173,"The Wonderful Wizard of Oz","L. Frank Baum",4,465875,105128,1368,NA,"May 17, 1900",154,17994,2555,"Classics","Fantasy","Fiction","Childrens","Young Adult",36,34,22,4,1," Paperback","3.97"
"174",174,"The Secret History","Donna Tartt",4.17,817652,104895,1155,"12.99","September 16, 1992",559,91970,34400,"Fiction","Mystery","Classics","Contemporary","Thriller",45,33,14,4,1," Paperback","4.03"
"175",175,"The Three Musketeers","Alexandre Dumas",4.09,331803,104493,1307,"0.99","January 1, 1844",625,9978,11300,"Fiction","Historical Fiction","Classics","Adventure","France",38,37,19,3,1," Paperback","4.22"
"176",176,"Eat, Pray, Love","Elizabeth Gilbert",3.63,1773658,103896,1201,"12.99","February 16, 2006",368,59082,33500,"Nonfiction","Memoir","Travel","Biography","Romance",29,28,24,0,6," Paperback","3.72"
"177",177,"The Lorax","Dr. Seuss",4.35,350599,102975,1258,NA,"January 1, 1971",72,5162,17900,"Childrens","Picture Books","Fiction","Classics","Poetry",59,23,12,3,1," Hardcover","4.27"
"178",178,"Throne of Glass","Sarah J. Maas",4.18,1755665,102825,1129,NA,"August 7, 2012",406,122283,458000,"Young Adult","Romance","Fiction","Magic","Young Adult Fantasy",44,35,15,3,1," Hardcover","4.36"
"179",179,"Goodnight Moon","Margaret Wise Brown",4.31,379975,101993,1267,"0.00","September 3, 1947",32,7297,1022,"Childrens","Picture Books","Classics","Fiction","Poetry",58,21,13,3,2," Hardcover","4.24"
"180",180,"The Haunting of Hill House","Shirley Jackson",3.82,323817,100607,1065,"10.99","October 16, 1959",182,31187,9782,"Horror","Fiction","Gothic","Mystery","Paranormal",29,35,25,7,2," Paperback","3.9"
"181",181,"A Midsummer Night’s Dream","William Shakespeare",3.94,551186,98985,1292,"2.99","January 1, 1595",298,13410,44400,"Plays","Fiction","Fantasy","School","Romance",33,36,23,5,1," Mass Market Paperback","3.86"
"182",182,"The Hunger Games Trilogy Boxset","Suzanne Collins",4.49,225170,98046,1151,"25.99","January 1, 2010",1155,7529,105000,"Young Adult","Fiction","Fantasy","Dystopia","Science Fiction",62,27,8,1,1," Paperback","4.27"
"183",183,"A Court of Mist and Fury","Sarah J. Maas",4.65,2331686,97473,1041,NA,"May 3, 2016",626,198380,458000,"Fantasy","Romance","Young Adult","New Adult","Fiction",74,19,4,1,1," Kindle Edition","4.36"
"184",184,"Frostbite","Richelle Mead",4.25,360928,97357,1107,NA,"April 1, 2008",327,13823,68700,"Young Adult","Fantasy","Vampires","Paranormal","Romance",49,32,14,2,1," Paperback","4.24"
"185",185,"Murder on the Orient Express","Agatha Christie",4.2,652020,96774,1220,NA,"January 1, 1934",274,42582,68100,"Mystery","Fiction","Crime","Mystery Thriller","Audiobook",41,40,15,2,1," Paperback","4.02"
"186",186,"Bridge to Terabithia","Katherine Paterson",4.05,558910,95878,1199,"0.00","October 21, 1977",190,17050,2178,"Fiction","Young Adult","Classics","Fantasy","Childrens",40,33,18,5,2," Kindle Edition","4.01"
"187",187,"Heart of Darkness","Joseph Conrad",3.43,524370,95579,1180,"6.49","January 1, 1899",188,21538,4415,"Fiction","Classics","Literature","Historical Fiction","Africa",21,28,27,3,7," Paperback","3.49"
"188",188,"Tess of the D’Urbervilles","Thomas Hardy",3.83,289485,95239,1167,"0.00","January 1, 1891",518,12269,6254,"Fiction","Classics","Literature","Historical Fiction","19th Century",32,34,22,7,3," Paperback","3.86"
"189",189,"The Prophet","Kahlil Gibran",4.23,307017,93033,1119,"2.36","January 1, 1923",127,15170,14500,"Poetry","Classics","Philosophy","Fiction","Spirituality",51,28,14,4,1," Paperback","4.15"
"190",190,"Blood Promise","Richelle Mead",4.3,317741,92552,1056,NA,"August 25, 2009",503,11574,68700,"Young Adult","Fantasy","Vampires","Paranormal","Romance",52,29,13,2,1," Hardcover","4.24"
"191",191,"The Call of the Wild","Jack London",3.91,441729,92019,1194,"1.69","January 1, 1903",172,16255,7093,"Fiction","Classics","Adventure","Young Adult","Animals",32,36,23,5,2," Mass Market Paperback","3.99"
"192",192,"The Selection","Kiera Cass",4.08,1617074,91391,1027,NA,"April 24, 2012",336,81918,64100,"Romance","Young Adult","Dystopia","Fantasy","Fiction",43,30,17,5,2," Hardcover","3.96"
"193",193,"The Night Circus","Erin Morgenstern",4.01,1011493,91251,1026,"13.99","September 13, 2011",506,107912,52200,"Fantasy","Fiction","Romance","Historical Fiction","Magic",39,32,18,6,2," Hardcover","3.98"
"194",194,"The Good Earth","Pearl S. Buck",4,252985,90899,1108,NA,"March 2, 1931",418,11951,2765,"Fiction","Historical Fiction","China","Classics","Literature",38,34,19,5,2," Paperback","4.01"
"195",195,"Alice in Wonderland","Jane Carruth",4.03,392333,90593,1176,"1.00","January 1, 1865",96,5610,48,"Classics","Fantasy","Fiction","Childrens","Young Adult",40,31,20,5,2," Hardcover","4.03"
"196",196,"The Joy Luck Club","Amy Tan",3.97,691210,90454,1129,"13.99","January 1, 1989",352,13890,10500,"Fiction","Historical Fiction","Classics","China","Contemporary",34,37,20,4,2," Paperback","3.95"
"197",197,"The Silence of the Lambs","Thomas  Harris",4.25,559718,90281,1095,NA,"July 1, 1988",421,10230,7694,"Horror","Fiction","Thriller","Mystery","Crime",49,32,12,2,2," Paperback","4.09"
"198",198,"The Phantom Tollbooth","Norton Juster",4.2,292814,90003,1056,"8.99","January 1, 1961",248,13779,1056,"Fantasy","Fiction","Classics","Childrens","Young Adult",49,29,14,4,2," Paperback","4.18"
"199",199,"Oh, the Places You’ll Go!","Dr. Seuss",4.37,416967,89456,1135,NA,"January 22, 1990",44,6583,17900,"Childrens","Picture Books","Fiction","Classics","Poetry",60,22,11,3,1," Hardcover","4.27"
"200",200,"The Neverending Story","Michael Ende",4.18,206898,88580,1075,"8.54","September 1, 1979",396,10008,3161,"Fantasy","Classics","Fiction","Young Adult","Childrens",46,31,16,3,1," Hardcover","4.22"
"201",201,"Madame Bovary","Gustave Flaubert",3.7,344927,88382,1106,"3.99","December 15, 1856",329,17364,3618,"Fiction","Classics","France","Literature","French Literature",26,34,26,9,3," Paperback","3.71"
"202",202,"The Mists of Avalon","Marion Zimmer Bradley",4.13,208577,88069,1044,NA,"December 1, 1982",1009,7713,4642,"Fantasy","Fiction","Historical Fiction","Arthurian","Mythology",45,31,16,4,2," Kindle Edition","4.01"
"203",203,"The Diary of a Young Girl","Anne Frank",4.19,3851251,87908,1093,"2.51","January 1, 1947",283,43321,5415,"Nonfiction","Biography","Memoir","Historical","Classics",48,30,14,3,2," Mass Market Paperback","4.19"
"204",204,"Oliver Twist","Charles Dickens",3.88,401049,87328,1173,NA,"January 1, 1838",608,11201,29300,"Classics","Fiction","Historical Fiction","Literature","Novels",29,37,24,5,1," Paperback","3.91"
"205",205,"Treasure Island","Robert Louis Stevenson",3.85,505736,87183,1167,"0.99","January 28, 1882",352,17376,6439,"Classics","Fiction","Adventure","Historical Fiction","Young Adult",28,36,26,5,1," Hardcover","3.84"
"206",206,"Jonathan Livingston Seagull","Richard Bach",3.86,257396,86436,1057,"12.99","January 1, 1970",112,11438,3518,"Fiction","Classics","Philosophy","Fantasy","Spirituality",35,30,22,8,3," Paperback","3.91"
"207",207,"Ulysses","James Joyce",3.75,130630,84743,1005,"2.99","February 2, 1922",925,9847,8629,"Fiction","Literature","Classics","Novels","Ireland",37,25,19,9,7," Paperback","3.75"
"208",208,"The Girl Who Played with Fire","Stieg Larsson",4.25,938794,84438,1050,NA,"January 1, 2006",503,37847,15900,"Fiction","Mystery","Thriller","Crime","Mystery Thriller",45,38,13,2,1," Hardcover","4.19"
"209",209,"A Storm of Swords","George R.R. Martin",4.54,802798,83914,973,NA,"August 8, 2000",1177,26247,114000,"Fantasy","Fiction","Epic Fantasy","High Fantasy","Science Fiction Fantasy",64,27,6,1,1," Mass Market Paperback","4.38"
"210",210,"Fifty Shades of Grey","E.L. James",3.66,2689379,83228,938,NA,"May 25, 2011",356,85173,57700,"Romance","Fiction","Erotica","BDSM","Adult",38,20,18,0,1," Paperback","3.75"
"211",211,"The Boy in the Striped Pajamas","John Boyne",4.16,866230,82742,1014,"6.99","January 1, 2006",224,38574,12900,"Historical Fiction","Fiction","Young Adult","Historical","Holocaust",43,36,15,3,1," Hardcover","4.18"
"212",212,"The Seven Husbands of Evelyn Hugo","Taylor Jenkins Reid",4.41,3341411,81708,869,"14.99","June 13, 2017",389,295811,193000,"Fiction","Historical Fiction","LGBT","Contemporary","Audiobook",57,29,9,2,1," Hardcover","4.22"
"213",213,"Jurassic Park","Michael Crichton",4.11,982796,81519,1008,NA,"November 7, 1990",466,21720,18400,"Science Fiction","Fiction","Thriller","Fantasy","Horror",41,34,17,3,1," Kindle Edition","3.89"
"214",214,"Beloved","Toni Morrison",3.96,450259,80961,989,"12.99","September 16, 1987",325,22893,20600,"Fiction","Classics","Historical Fiction","Magical Realism","Literature",38,32,18,6,3," Paperback","4.02"
"215",215,"Misery","Stephen         King",4.23,761642,80661,983,"9.99","June 8, 1987",370,28934,857000,"Horror","Fiction","Thriller","Mystery","Suspense",46,34,14,2,1," Paperback","4.07"
"216",216,"The Clan of the Cave Bear","Jean M. Auel",4.09,271717,79723,985,NA,"May 4, 1980",516,8312,4164,"Historical Fiction","Fiction","Fantasy","Historical","Classics",42,33,17,4,1," Kindle Edition","3.99"
"217",217,"A Farewell to Arms","Ernest Hemingway",3.82,330147,78587,1007,"11.99","September 1, 1929",293,14736,29900,"Fiction","Historical Fiction","Classics","War","Literature",28,37,23,7,2," Paperback","3.83"
"218",218,"The Canterbury Tales","Geoffrey Chaucer",3.52,226457,78053,1038,"0.49","January 1, 1400",504,4559,1283,"Classics","Fiction","Poetry","Literature","School",20,30,32,1,4," Paperback","3.56"
"219",219,"The Lost Hero","Rick Riordan",4.3,876639,77920,936,NA,"October 12, 2010",576,35744,434000,"Fantasy","Mythology","Young Adult","Fiction","Middle Grade",50,32,13,2,1," Hardcover","4.34"
"220",220,"David Copperfield","Charles Dickens",4.03,243987,77845,1023,"0.00","November 1, 1850",882,10508,29300,"Fiction","Literature","Historical Fiction","19th Century","Audiobook",38,34,19,5,1," Paperback","3.91"
"221",221,"The World According to Garp","John Irving",4.1,231672,77194,959,"14.99","April 24, 1978",610,7009,15200,"Fiction","Classics","Literature","Contemporary","Novels",40,37,16,4,1," Hardcover","4.01"
"222",222,"A Little Princess","Frances Hodgson Burnett",4.22,311367,77051,975,"7.99","January 1, 1905",242,10338,4482,"Classics","Fiction","Childrens","Young Adult","Historical Fiction",47,33,15,2,1," Paperback","4.17"
"223",223,"Thirteen Reasons Why","Jay Asher",3.84,988795,76964,883,"9.99","October 18, 2007",352,57203,10600,"Young Adult","Fiction","Contemporary","Realistic Fiction","Mystery",35,30,21,8,4," Hardcover","3.82"
"224",224,"The Chain Between Worlds","Johnathon Nicolaou",4.46,1348,75413,756,NA,"September 28, 2021",335,83,688,"Fantasy","Young Adult","Urban Fantasy","Fiction","Young Adult Fantasy",67,19,8,2,2," ebook","4.47"
"225",225,"His Dark Materials","Philip Pullman",4.29,163763,74437,869,"19.99","November 1, 2000",1088,5785,24600,"Fantasy","Fiction","Young Adult","Childrens","Science Fiction Fantasy",53,29,12,3,1," Mass Market Paperback","4.06"
"226",226,"The Green Mile","Stephen         King",4.48,331558,74070,918,"9.99","January 1, 1996",592,13699,857000,"Horror","Fiction","Fantasy","Thriller","Mystery",60,29,8,1,1," Paperback","4.07"
"227",227,"Clockwork Prince","Cassandra Clare",4.42,562894,73541,863,NA,"December 6, 2011",498,32252,273000,"Fantasy","Young Adult","Romance","Paranormal","Steampunk",58,28,9,2,1," Hardcover","4.22"
"228",228,"Wicked: The Life and Times of the Wicked Witch of the West","Gregory Maguire",3.54,604082,73122,887,NA,"September 29, 1995",406,27209,7918,"Fantasy","Fiction","Adult","Retellings","Witches",25,29,25,2,7," Paperback","3.52"
"229",229,"Shōgun","James Clavell",4.41,192182,73007,892,NA,"January 1, 1975",1152,7163,3287,"Historical Fiction","Fiction","Japan","Historical","Classics",57,29,10,1,1," Paperback","4.33"
"230",230,"Cinder","Marissa Meyer",4.13,951776,72725,834,NA,"January 3, 2012",400,71636,127000,"Fantasy","Young Adult","Science Fiction","Romance","Retellings",44,33,15,4,2," Hardcover","4.2"
"231",231,"Schindler’s List","Thomas Keneally",4.34,161822,72658,955,"13.99","October 18, 1982",429,3071,1114,"History","Nonfiction","Holocaust","War","Historical",53,31,11,2,1," Mass Market Paperback","4.25"
"232",232,"The Iliad / The Odyssey","Homer",4.06,78077,72035,941,"0.99","January 1, 801",1556,1244,6138,"Classics","Fiction","Poetry","Mythology","Fantasy",40,34,19,4,1," Paperback","3.86"
"233",233,"The Silmarillion","J.R.R. Tolkien",4.01,304198,72004,864,"11.99","September 15, 1977",386,13886,72800,"Fantasy","Fiction","Classics","High Fantasy","Science Fiction Fantasy",41,30,19,6,2," Hardcover","4.36"
"234",234,"The Velveteen Rabbit","Margery Williams Bianco",4.31,262288,71650,952,"0.99","January 1, 1922",40,5111,609,"Classics","Childrens","Fiction","Picture Books","Fantasy",55,26,13,3,1," Paperback","4.3"
"235",235,"The Trial","Franz Kafka",3.95,344417,70897,867,"5.99","January 1, 1925",255,16508,32100,"Fiction","Philosophy","Literature","Classics","German Literature",34,36,20,6,2," Paperback","3.9"
"236",236,"Extremely Loud & Incredibly Close","Jonathan Safran Foer",3.97,425906,70359,804,"14.99","January 1, 2005",326,26212,14100,"Fiction","Historical Fiction","Contemporary","Novels","Literary Fiction",37,34,19,6,2," Paperback","3.96"
"237",237,"Gone Girl","Gillian Flynn",4.14,3192695,69634,826,"12.99","December 6, 2012",415,159100,90600,"Fiction","Mystery","Thriller","Mystery Thriller","Crime",43,35,14,4,2," Paperback","4.07"
"238",238,"The Other Boleyn Girl","Philippa Gregory",4.08,502733,69145,850,NA,"April 21, 2001",661,18035,34900,"Historical Fiction","Fiction","Historical","Romance","Adult",38,38,18,3,1," Paperback","3.94"
"239",239,"Howl’s Moving Castle","Diana Wynne Jones",4.29,382323,68912,812,NA,"April 1, 1986",329,32752,11300,"Fantasy","Young Adult","Fiction","Middle Grade","Magic",50,32,13,2,1," Mass Market Paperback","4.14"
"240",240,"Fallen","Lauren Kate",3.72,595691,68175,789,NA,"December 8, 2009",464,22278,26200,"Fantasy","Young Adult","Romance","Paranormal","Angels",34,26,23,0,5," Hardcover","3.79"
"241",241,"Man’s Search for Meaning","Viktor E. Frankl",4.37,754246,67716,789,"9.99","January 1, 1946",165,41754,7123,"Nonfiction","Psychology","Philosophy","Self Help","Memoir",55,30,10,2,1," Paperback","4.37"
"242",242,"The Sun Also Rises","Ernest Hemingway",3.79,457483,67590,861,"5.99","October 22, 1926",189,20377,29900,"Classics","Fiction","Literature","Novels","Historical Fiction",29,34,24,8,3," Paperback","3.83"
"243",243,"Last Sacrifice","Richelle Mead",4.37,291703,67454,793,NA,"December 7, 2010",594,12872,68700,"Young Adult","Fantasy","Vampires","Paranormal","Romance",58,26,11,2,1," Hardcover","4.24"
"244",244,"A Confederacy of Dunces","John Kennedy Toole",3.89,281626,66995,775,"8.48","May 1, 1980",394,19378,1288,"Fiction","Humor","Literature","Comedy","Novels",39,29,17,8,5," Paperback","3.88"
"245",245,"The Secret Magdalene","Ki Longfellow",4.15,4636,65329,670,"4.99","January 1, 2005",448,508,1301,"Historical Fiction","Fiction","Religion","Historical","Spirituality",53,22,13,5,4," Hardcover","4.05"
"246",246,"The Crucible","Arthur Miller",3.6,422185,64633,858,NA,"May 1, 1946",143,12777,2857,"Classics","Plays","Fiction","Historical Fiction","School",21,33,30,0,3," Paperback","3.61"
"247",247,"The Phantom of the Opera","Gaston Leroux",3.96,251539,64337,813,NA,"January 1, 1910",360,12045,990,"Classics","Fiction","Horror","Romance","Gothic",35,34,22,5,1," Mass Market Paperback","3.94"
"248",248,"Cat’s Cradle","Kurt Vonnegut Jr.",4.15,412641,64302,787,"12.99","January 1, 1963",306,16343,34600,"Fiction","Classics","Science Fiction","Humor","Literature",41,37,16,3,1," Paperback","4.07"
"249",249,"The Screwtape Letters","C.S. Lewis",4.27,464928,64197,787,"11.99","February 1, 1942",222,17304,43900,"Fiction","Christian","Classics","Religion","Christianity",52,28,12,3,2," Kindle Edition","4.17"
"250",250,"A Light in the Attic","Shel Silverstein",4.36,456195,64141,846,"0.00","October 7, 1981",176,3514,10100,"Poetry","Childrens","Classics","Fiction","Humor",57,25,11,2,1," Hardcover","4.35"
"251",251,"City of Fallen Angels","Cassandra Clare",4.07,613765,64051,789,NA,"April 5, 2011",425,28246,273000,"Fantasy","Young Adult","Romance","Paranormal","Urban Fantasy",40,33,19,4,1," Hardcover","4.22"
"252",252,"The Wind in the Willows","Kenneth Grahame",4.02,225379,64011,850,"2.98","October 8, 1908",197,9662,680,"Classics","Fiction","Childrens","Fantasy","Animals",38,33,20,4,2," Paperback","4.02"
"253",253,"Spirit Bound","Richelle Mead",4.32,299017,62990,747,NA,"May 18, 2010",489,10324,68700,"Young Adult","Fantasy","Vampires","Paranormal","Romance",54,29,12,2,1," Hardcover","4.24"
"254",254,"The God of Small Things","Arundhati Roy",3.96,305510,62243,731,"11.99","April 1, 1997",321,20067,12000,"Fiction","India","Historical Fiction","Classics","Contemporary",37,33,19,6,2," Paperback","3.92"
"255",255,"Blindness","José Saramago",4.17,302391,62148,719,NA,"January 1, 1995",349,25298,15400,"Fiction","Dystopia","Classics","Science Fiction","Novels",44,35,14,4,1," Kindle Edition","4.06"
"256",256,"Mockingjay","Suzanne Collins",4.09,3342521,62105,779,NA,"August 24, 2010",390,134164,105000,"Young Adult","Dystopia","Fiction","Fantasy","Science Fiction",42,33,18,4,1," Hardcover","4.27"
